FIPS,County Name,year,Unemployment
23.0,Humboldt,2013,0.081
25.0,Imperial,2013,0.25
27.0,Inyo,2013,0.078
29.0,Kern,2013,0.117
31.0,Kings,2013,0.134
33.0,Lake,2013,0.109
35.0,Lassen,2013,0.106
37.0,Los Angeles,2013,0.098
39.0,Madera,2013,0.126
41.0,Marin,2013,0.052000000000000005
43.0,Mariposa,2013,0.105
45.0,Mendocino,2013,0.084
47.0,Merced,2013,0.145
49.0,Modoc,2013,0.123
51.0,Mono,2013,0.085
53.0,Monterey,2013,0.103
55.0,Napa,2013,0.069
57.0,Nevada,2013,0.081
59.0,Orange,2013,0.066
61.0,Placer,2013,0.077
63.0,Plumas,2013,0.138
65.0,Riverside,2013,0.099
67.0,Sacramento,2013,0.08900000000000001
69.0,San Benito,2013,0.111
71.0,San Bernardino,2013,0.098
73.0,San Diego,2013,0.078
75.0,San Francisco Coun,2013,0.055
77.0,San Joaquin,2013,0.123
79.0,San Luis Obispo,2013,0.068
81.0,San Mateo,2013,0.053
83.0,Santa Barbara,2013,0.07200000000000001
85.0,Santa Clara,2013,0.065
87.0,Santa Cruz,2013,0.103
89.0,Shasta,2013,0.118
91.0,Sierra,2013,0.127
93.0,Siskiyou,2013,0.131
95.0,Solano,2013,0.091
97.0,Sonoma,2013,0.071
99.0,Stanislaus,2013,0.129
101.0,Sutter,2013,0.146
103.0,Tehama,2013,0.116
105.0,Trinity,2013,0.119
107.0,Tulare,2013,0.14400000000000002
109.0,Tuolumne,2013,0.108
111.0,Ventura,2013,0.079
113.0,Yolo,2013,0.09
115.0,Yuba,2013,0.132
,,2014,0.075
1.0,Alameda,2014,0.058
3.0,Alpine,2014,0.08199999999999999
5.0,Amador,2014,0.083
7.0,Butte,2014,0.086
9.0,Calaveras,2014,0.08
11.0,Colusa,2014,0.174
13.0,Contra Costa,2014,0.062
15.0,Del Norte,2014,0.101
17.0,El Dorado,2014,0.07
19.0,Fresno,2014,0.116
21.0,Glenn,2014,0.107
23.0,Humboldt,2014,0.067
25.0,Imperial,2014,0.24
27.0,Inyo,2014,0.068
29.0,Kern,2014,0.104
31.0,Kings,2014,0.119
33.0,Lake,2014,0.08900000000000001
35.0,Lassen,2014,0.091
37.0,Los Angeles,2014,0.083
39.0,Madera,2014,0.112
41.0,Marin,2014,0.043
43.0,Mariposa,2014,0.08800000000000001
45.0,Mendocino,2014,0.07
47.0,Merced,2014,0.128
49.0,Modoc,2014,0.102
51.0,Mono,2014,0.071
53.0,Monterey,2014,0.09
55.0,Napa,2014,0.057
57.0,Nevada,2014,0.065
59.0,Orange,2014,0.055
61.0,Placer,2014,0.063
63.0,Plumas,2014,0.115
65.0,Riverside,2014,0.08199999999999999
67.0,Sacramento,2014,0.073
69.0,San Benito,2014,0.093
71.0,San Bernardino,2014,0.08
73.0,San Diego,2014,0.064
75.0,San Francisco Coun,2014,0.044
77.0,San Joaquin,2014,0.105
79.0,San Luis Obispo,2014,0.056
81.0,San Mateo,2014,0.042
83.0,Santa Barbara,2014,0.061
85.0,Santa Clara,2014,0.052000000000000005
87.0,Santa Cruz,2014,0.087
89.0,Shasta,2014,0.096
91.0,Sierra,2014,0.101
93.0,Siskiyou,2014,0.111
95.0,Solano,2014,0.075
97.0,Sonoma,2014,0.056
99.0,Stanislaus,2014,0.112
101.0,Sutter,2014,0.126
103.0,Tehama,2014,0.096
105.0,Trinity,2014,0.094
107.0,Tulare,2014,0.131
109.0,Tuolumne,2014,0.086
111.0,Ventura,2014,0.066
113.0,Yolo,2014,0.075
115.0,Yuba,2014,0.112
,,2015,0.062
1.0,Alameda,2015,0.047
3.0,Alpine,2015,0.073
5.0,Amador,2015,0.066
7.0,Butte,2015,0.07200000000000001
9.0,Calaveras,2015,0.064
11.0,Colusa,2015,0.154
13.0,Contra Costa,2015,0.05
15.0,Del Norte,2015,0.085
17.0,El Dorado,2015,0.057
19.0,Fresno,2015,0.102
21.0,Glenn,2015,0.087
23.0,Humboldt,2015,0.056
25.0,Imperial,2015,0.245
27.0,Inyo,2015,0.058
29.0,Kern,2015,0.102
31.0,Kings,2015,0.105
33.0,Lake,2015,0.076
35.0,Lassen,2015,0.07200000000000001
37.0,Los Angeles,2015,0.066
39.0,Madera,2015,0.105
41.0,Marin,2015,0.036000000000000004
43.0,Mariposa,2015,0.071
45.0,Mendocino,2015,0.058
47.0,Merced,2015,0.114
49.0,Modoc,2015,0.085
51.0,Mono,2015,0.061
53.0,Monterey,2015,0.081
55.0,Napa,2015,0.046
57.0,Nevada,2015,0.054000000000000006
59.0,Orange,2015,0.045
61.0,Placer,2015,0.051
63.0,Plumas,2015,0.103
65.0,Riverside,2015,0.067
67.0,Sacramento,2015,0.06
69.0,San Benito,2015,0.076
71.0,San Bernardino,2015,0.064
73.0,San Diego,2015,0.052000000000000005
75.0,San Francisco Coun,2015,0.036000000000000004
77.0,San Joaquin,2015,0.08900000000000001
79.0,San Luis Obispo,2015,0.047
81.0,San Mateo,2015,0.034
83.0,Santa Barbara,2015,0.053
85.0,Santa Clara,2015,0.041
87.0,Santa Cruz,2015,0.075
89.0,Shasta,2015,0.078
91.0,Sierra,2015,0.087
93.0,Siskiyou,2015,0.094
95.0,Solano,2015,0.061
97.0,Sonoma,2015,0.045
99.0,Stanislaus,2015,0.095
101.0,Sutter,2015,0.107
103.0,Tehama,2015,0.079
105.0,Trinity,2015,0.078
107.0,Tulare,2015,0.116
109.0,Tuolumne,2015,0.07
111.0,Ventura,2015,0.056
113.0,Yolo,2015,0.065
115.0,Yuba,2015,0.093
,,2016,0.055
1.0,Alameda,2016,0.043
3.0,Alpine,2016,0.063
5.0,Amador,2016,0.059
7.0,Butte,2016,0.066
9.0,Calaveras,2016,0.057
11.0,Colusa,2016,0.156
13.0,Contra Costa,2016,0.045
15.0,Del Norte,2016,0.075
17.0,El Dorado,2016,0.051
19.0,Fresno,2016,0.095
21.0,Glenn,2016,0.083
23.0,Humboldt,2016,0.049
25.0,Imperial,2016,0.241
27.0,Inyo,2016,0.053
29.0,Kern,2016,0.104
31.0,Kings,2016,0.1
33.0,Lake,2016,0.067
35.0,Lassen,2016,0.069
37.0,Los Angeles,2016,0.053
39.0,Madera,2016,0.092
41.0,Marin,2016,0.033
43.0,Mariposa,2016,0.069
45.0,Mendocino,2016,0.053
47.0,Merced,2016,0.106
49.0,Modoc,2016,0.078
51.0,Mono,2016,0.054000000000000006
53.0,Monterey,2016,0.077
55.0,Napa,2016,0.043
57.0,Nevada,2016,0.048
59.0,Orange,2016,0.04
61.0,Placer,2016,0.045
63.0,Plumas,2016,0.097
65.0,Riverside,2016,0.061
67.0,Sacramento,2016,0.054000000000000006
69.0,San Benito,2016,0.067
71.0,San Bernardino,2016,0.058
73.0,San Diego,2016,0.047
75.0,San Francisco Coun,2016,0.033
77.0,San Joaquin,2016,0.081
79.0,San Luis Obispo,2016,0.043
81.0,San Mateo,2016,0.03
83.0,Santa Barbara,2016,0.051
85.0,Santa Clara,2016,0.038
87.0,Santa Cruz,2016,0.07
89.0,Shasta,2016,0.07
91.0,Sierra,2016,0.076
93.0,Siskiyou,2016,0.085
95.0,Solano,2016,0.055
97.0,Sonoma,2016,0.04
99.0,Stanislaus,2016,0.086
101.0,Sutter,2016,0.097
103.0,Tehama,2016,0.071
105.0,Trinity,2016,0.071
107.0,Tulare,2016,0.112
109.0,Tuolumne,2016,0.062
111.0,Ventura,2016,0.052000000000000005
113.0,Yolo,2016,0.059
115.0,Yuba,2016,0.086
,,2017,0.048
1.0,Alameda,2017,0.037000000000000005
3.0,Alpine,2017,0.06
5.0,Amador,2017,0.05
7.0,Butte,2017,0.058
9.0,Calaveras,2017,0.047
11.0,Colusa,2017,0.142
13.0,Contra Costa,2017,0.038
15.0,Del Norte,2017,0.064
17.0,El Dorado,2017,0.044
19.0,Fresno,2017,0.085
21.0,Glenn,2017,0.075
23.0,Humboldt,2017,0.042
25.0,Imperial,2017,0.195
27.0,Inyo,2017,0.044
29.0,Kern,2017,0.092
31.0,Kings,2017,0.08900000000000001
33.0,Lake,2017,0.058
35.0,Lassen,2017,0.055
37.0,Los Angeles,2017,0.048
39.0,Madera,2017,0.081
41.0,Marin,2017,0.029
43.0,Mariposa,2017,0.058
45.0,Mendocino,2017,0.045
47.0,Merced,2017,0.094
49.0,Modoc,2017,0.081
51.0,Mono,2017,0.044
53.0,Monterey,2017,0.07200000000000001
55.0,Napa,2017,0.036000000000000004
57.0,Nevada,2017,0.041
59.0,Orange,2017,0.035
61.0,Placer,2017,0.039
63.0,Plumas,2017,0.08900000000000001
65.0,Riverside,2017,0.053
67.0,Sacramento,2017,0.047
69.0,San Benito,2017,0.058
71.0,San Bernardino,2017,0.049
73.0,San Diego,2017,0.04
75.0,San Francisco Coun,2017,0.029
77.0,San Joaquin,2017,0.07
79.0,San Luis Obispo,2017,0.036000000000000004
81.0,San Mateo,2017,0.027000000000000003
83.0,Santa Barbara,2017,0.045
85.0,Santa Clara,2017,0.032
87.0,Santa Cruz,2017,0.057
89.0,Shasta,2017,0.058
91.0,Sierra,2017,0.065
93.0,Siskiyou,2017,0.073
95.0,Solano,2017,0.048
97.0,Sonoma,2017,0.034
99.0,Stanislaus,2017,0.075
101.0,Sutter,2017,0.087
103.0,Tehama,2017,0.064
105.0,Trinity,2017,0.062
107.0,Tulare,2017,0.104
109.0,Tuolumne,2017,0.054000000000000006
111.0,Ventura,2017,0.045
113.0,Yolo,2017,0.051
115.0,Yuba,2017,0.07400000000000001
,,2018,0.043
1.0,Alameda,2018,0.031
3.0,Alpine,2018,0.046
5.0,Amador,2018,0.041
7.0,Butte,2018,0.051
9.0,Calaveras,2018,0.041
11.0,Colusa,2018,0.133
13.0,Contra Costa,2018,0.032
15.0,Del Norte,2018,0.057
17.0,El Dorado,2018,0.037000000000000005
19.0,Fresno,2018,0.076
21.0,Glenn,2018,0.066
23.0,Humboldt,2018,0.036000000000000004
25.0,Imperial,2018,0.189
27.0,Inyo,2018,0.039
29.0,Kern,2018,0.081
31.0,Kings,2018,0.079
33.0,Lake,2018,0.053
35.0,Lassen,2018,0.048
37.0,Los Angeles,2018,0.046
39.0,Madera,2018,0.071
41.0,Marin,2018,0.024
43.0,Mariposa,2018,0.054000000000000006
45.0,Mendocino,2018,0.04
47.0,Merced,2018,0.084
49.0,Modoc,2018,0.076
51.0,Mono,2018,0.041
53.0,Monterey,2018,0.064
55.0,Napa,2018,0.03
57.0,Nevada,2018,0.035
59.0,Orange,2018,0.03
61.0,Placer,2018,0.032
63.0,Plumas,2018,0.076
65.0,Riverside,2018,0.045
67.0,Sacramento,2018,0.039
69.0,San Benito,2018,0.051
71.0,San Bernardino,2018,0.041
73.0,San Diego,2018,0.034
75.0,San Francisco Coun,2018,0.024
77.0,San Joaquin,2018,0.061
79.0,San Luis Obispo,2018,0.03
81.0,San Mateo,2018,0.023
83.0,Santa Barbara,2018,0.04
85.0,Santa Clara,2018,0.027000000000000003
87.0,Santa Cruz,2018,0.05
89.0,Shasta,2018,0.05
91.0,Sierra,2018,0.061
93.0,Siskiyou,2018,0.068
95.0,Solano,2018,0.04
97.0,Sonoma,2018,0.028
99.0,Stanislaus,2018,0.065
101.0,Sutter,2018,0.077
103.0,Tehama,2018,0.058
105.0,Trinity,2018,0.058
107.0,Tulare,2018,0.098
109.0,Tuolumne,2018,0.047
111.0,Ventura,2018,0.038
113.0,Yolo,2018,0.043
115.0,Yuba,2018,0.065
,,2019,0.04
1.0,Alameda,2019,0.029
3.0,Alpine,2019,0.051
5.0,Amador,2019,0.038
7.0,Butte,2019,0.051
9.0,Calaveras,2019,0.038
11.0,Colusa,2019,0.128
13.0,Contra Costa,2019,0.031
15.0,Del Norte,2019,0.057
17.0,El Dorado,2019,0.035
19.0,Fresno,2019,0.07200000000000001
21.0,Glenn,2019,0.061
23.0,Humboldt,2019,0.036000000000000004
25.0,Imperial,2019,0.183
27.0,Inyo,2019,0.035
29.0,Kern,2019,0.077
31.0,Kings,2019,0.079
33.0,Lake,2019,0.05
35.0,Lassen,2019,0.046
37.0,Los Angeles,2019,0.044
39.0,Madera,2019,0.069
41.0,Marin,2019,0.023
43.0,Mariposa,2019,0.046
45.0,Mendocino,2019,0.04
47.0,Merced,2019,0.081
49.0,Modoc,2019,0.071
51.0,Mono,2019,0.037000000000000005
53.0,Monterey,2019,0.062
55.0,Napa,2019,0.028
57.0,Nevada,2019,0.033
59.0,Orange,2019,0.028
61.0,Placer,2019,0.031
63.0,Plumas,2019,0.077
65.0,Riverside,2019,0.042
67.0,Sacramento,2019,0.037000000000000005
69.0,San Benito,2019,0.05
71.0,San Bernardino,2019,0.038
73.0,San Diego,2019,0.032
75.0,San Francisco Coun,2019,0.022
77.0,San Joaquin,2019,0.059
79.0,San Luis Obispo,2019,0.029
81.0,San Mateo,2019,0.02
83.0,Santa Barbara,2019,0.037000000000000005
85.0,Santa Clara,2019,0.025
87.0,Santa Cruz,2019,0.047
89.0,Shasta,2019,0.047
91.0,Sierra,2019,0.054000000000000006
93.0,Siskiyou,2019,0.065
95.0,Solano,2019,0.037000000000000005
97.0,Sonoma,2019,0.027000000000000003
99.0,Stanislaus,2019,0.06
101.0,Sutter,2019,0.073
103.0,Tehama,2019,0.055
105.0,Trinity,2019,0.055
107.0,Tulare,2019,0.096
109.0,Tuolumne,2019,0.045
111.0,Ventura,2019,0.036000000000000004
113.0,Yolo,2019,0.041
115.0,Yuba,2019,0.061
