ID,YEAR,MONTH,DAY,DAEV,DAPR,EVAP,MDEV,MDPR,PRCP,SNOW,SNWD,TMAX,TMIN,TOBS,WDMV,WT01,WT08
USC00040232,1955,3,5,,,46.0,,,0.0,0.0,0.0,156.0,56.0,94.0,,,
USC00040232,1955,3,6,,,51.0,,,0.0,0.0,0.0,178.0,50.0,106.0,,,
USC00040232,1955,3,7,,,38.0,,,0.0,0.0,0.0,217.0,0.0,72.0,,,
USC00040232,1955,3,8,,,33.0,,,0.0,0.0,0.0,217.0,39.0,83.0,,,
USC00040232,1955,3,9,,,28.0,,,104.0,0.0,0.0,206.0,78.0,117.0,,,
USC00040232,1955,4,1,,,56.0,,,0.0,0.0,0.0,239.0,72.0,122.0,,,
USC00040232,1955,4,10,,,84.0,,,8.0,0.0,0.0,250.0,89.0,128.0,,,
USC00040232,1955,4,11,,,74.0,,,0.0,0.0,0.0,211.0,78.0,150.0,,,
USC00040232,1955,4,12,,,69.0,,,0.0,0.0,0.0,217.0,83.0,156.0,,,
USC00040232,1955,4,13,,,84.0,,,0.0,0.0,0.0,244.0,83.0,156.0,,,
USC00040232,1955,4,14,,,64.0,,,0.0,0.0,0.0,217.0,56.0,111.0,,,
USC00040232,1955,4,15,,,61.0,,,0.0,0.0,0.0,189.0,11.0,128.0,,,
USC00040232,1955,4,16,,,56.0,,,0.0,0.0,0.0,206.0,22.0,139.0,,,
USC00040232,1955,4,17,,,107.0,,,56.0,0.0,0.0,211.0,94.0,111.0,,,
USC00040232,1955,4,18,,,13.0,,,56.0,0.0,0.0,128.0,39.0,72.0,,,
USC00040232,1955,4,19,,,41.0,,,3.0,0.0,0.0,139.0,33.0,83.0,,,
USC00040232,1955,4,2,,,69.0,,,0.0,0.0,0.0,161.0,50.0,94.0,,,
USC00040232,1955,4,20,,,25.0,,,51.0,0.0,0.0,150.0,78.0,94.0,,,
USC00040232,1955,4,21,,,3.0,,,74.0,0.0,0.0,128.0,61.0,100.0,,,
USC00040232,1955,4,22,,,0.0,,,48.0,0.0,0.0,150.0,94.0,133.0,,,
USC00040232,1955,4,23,,,43.0,,,0.0,0.0,0.0,183.0,56.0,128.0,,,
USC00040232,1955,4,24,,,53.0,,,0.0,0.0,0.0,217.0,89.0,128.0,,,
USC00040232,1955,4,25,,,66.0,,,0.0,0.0,0.0,183.0,78.0,94.0,,,
USC00040232,1955,4,26,,,20.0,,,38.0,0.0,0.0,172.0,56.0,61.0,,,
USC00040232,1955,4,27,,,51.0,,,0.0,0.0,0.0,144.0,28.0,89.0,,,
USC00040232,1955,4,28,,,56.0,,,0.0,0.0,0.0,178.0,50.0,89.0,,,
USC00040232,1955,4,29,,,46.0,,,0.0,0.0,0.0,167.0,89.0,111.0,,,
USC00040232,1955,4,3,,,53.0,,,0.0,0.0,0.0,161.0,33.0,117.0,,,
USC00040232,1955,4,30,,,20.0,,,3.0,0.0,0.0,178.0,72.0,106.0,,,
USC00040232,1955,4,31,,,-9999.0,,,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,,,
USC00040232,1955,4,4,,,56.0,,,0.0,0.0,0.0,183.0,67.0,111.0,,,
USC00040232,1955,4,5,,,71.0,,,0.0,0.0,0.0,189.0,78.0,128.0,,,
USC00040232,1955,4,6,,,61.0,,,0.0,0.0,0.0,217.0,11.0,128.0,,,
USC00040232,1955,4,7,,,61.0,,,0.0,0.0,0.0,239.0,33.0,139.0,,,
USC00040232,1955,4,8,,,71.0,,,0.0,0.0,0.0,256.0,39.0,161.0,,,
USC00040232,1955,4,9,,,64.0,,,0.0,0.0,0.0,267.0,33.0,144.0,,,
USC00040232,1955,5,1,,,28.0,,,5.0,0.0,0.0,167.0,56.0,133.0,,,
USC00040232,1955,5,10,,,48.0,,,0.0,0.0,0.0,267.0,89.0,172.0,,,
USC00040232,1955,5,11,,,69.0,,,0.0,0.0,0.0,311.0,111.0,200.0,,,
USC00040232,1955,5,12,,,81.0,,,0.0,0.0,0.0,322.0,144.0,200.0,,,
USC00040232,1955,5,13,,,124.0,,,0.0,0.0,0.0,283.0,56.0,122.0,,,
USC00040232,1955,5,14,,,84.0,,,0.0,0.0,0.0,222.0,89.0,122.0,,,
USC00040232,1955,5,15,,,89.0,,,0.0,0.0,0.0,217.0,111.0,144.0,,,
USC00040232,1955,5,16,,,71.0,,,0.0,0.0,0.0,222.0,122.0,161.0,,,
USC00040232,1955,5,17,,,74.0,,,0.0,0.0,0.0,250.0,156.0,189.0,,,
USC00040232,1955,5,18,,,91.0,,,0.0,0.0,0.0,289.0,172.0,211.0,,,
USC00040232,1955,5,19,,,94.0,,,0.0,0.0,0.0,339.0,183.0,211.0,,,
USC00040232,1955,5,2,,,61.0,,,0.0,0.0,0.0,189.0,61.0,133.0,,,
USC00040232,1955,5,20,,,86.0,,,0.0,0.0,0.0,339.0,167.0,194.0,,,
USC00040232,1955,5,21,,,109.0,,,0.0,0.0,0.0,356.0,167.0,183.0,,,
USC00040232,1955,5,22,,,89.0,,,0.0,0.0,0.0,361.0,178.0,200.0,,,
USC00040232,1955,5,23,,,114.0,,,0.0,0.0,0.0,294.0,156.0,167.0,,,
USC00040232,1955,5,24,,,94.0,,,0.0,0.0,0.0,222.0,150.0,156.0,,,
USC00040232,1955,5,25,,,84.0,,,0.0,0.0,0.0,239.0,156.0,211.0,,,
USC00040232,1955,5,26,,,114.0,,,0.0,0.0,0.0,294.0,117.0,189.0,,,
USC00040232,1955,5,27,,,112.0,,,0.0,0.0,0.0,267.0,144.0,183.0,,,
USC00040232,1955,5,28,,,99.0,,,0.0,0.0,0.0,306.0,183.0,222.0,,,
USC00040232,1955,5,29,,,99.0,,,0.0,0.0,0.0,350.0,150.0,239.0,,,
USC00040232,1955,5,3,,,38.0,,,0.0,0.0,0.0,189.0,61.0,106.0,,,
USC00040232,1955,5,30,,,114.0,,,0.0,0.0,0.0,322.0,156.0,167.0,,,
USC00040232,1955,5,31,,,94.0,,,0.0,0.0,0.0,256.0,122.0,156.0,,,
USC00040232,1955,5,4,,,56.0,,,0.0,0.0,0.0,194.0,78.0,128.0,,,
USC00040232,1955,5,5,,,38.0,,,0.0,0.0,0.0,217.0,78.0,150.0,,,
USC00040232,1955,5,6,,,89.0,,,0.0,0.0,0.0,222.0,83.0,156.0,,,
USC00040232,1955,5,7,,,69.0,,,84.0,0.0,0.0,222.0,111.0,133.0,,,
USC00040232,1955,5,8,,,18.0,,,74.0,0.0,0.0,144.0,94.0,111.0,,,
USC00040232,1955,5,9,,,46.0,,,0.0,0.0,0.0,211.0,89.0,111.0,,,
USC00040232,1955,6,1,,,86.0,,,0.0,0.0,0.0,239.0,156.0,161.0,,,
USC00040232,1955,6,10,,,142.0,,,0.0,0.0,0.0,272.0,117.0,150.0,,,
USC00040232,1955,6,11,,,84.0,,,0.0,0.0,0.0,217.0,94.0,172.0,,,
USC00040232,1955,6,12,,,84.0,,,0.0,0.0,0.0,222.0,111.0,183.0,,,
USC00040232,1955,6,13,,,84.0,,,0.0,0.0,0.0,267.0,111.0,139.0,,,
USC00040232,1955,6,14,,,86.0,,,0.0,0.0,0.0,228.0,94.0,128.0,,,
USC00040232,1955,6,15,,,79.0,,,0.0,0.0,0.0,228.0,117.0,150.0,,,
USC00040232,1955,6,16,,,86.0,,,0.0,0.0,0.0,239.0,89.0,167.0,,,
USC00040232,1955,6,17,,,99.0,,,0.0,0.0,0.0,311.0,89.0,167.0,,,
USC00040232,1955,6,18,,,112.0,,,0.0,0.0,0.0,322.0,122.0,189.0,,,
USC00040232,1955,6,19,,,102.0,,,0.0,0.0,0.0,294.0,83.0,161.0,,,
USC00040232,1955,6,2,,,89.0,,,0.0,0.0,0.0,283.0,100.0,200.0,,,
USC00040232,1955,6,20,,,104.0,,,0.0,0.0,0.0,289.0,111.0,156.0,,,
USC00040232,1955,6,21,,,109.0,,,0.0,0.0,0.0,294.0,100.0,178.0,,,
USC00040232,1955,6,22,,,112.0,,,0.0,0.0,0.0,300.0,150.0,194.0,,,
USC00040232,1955,6,23,,,117.0,,,0.0,0.0,0.0,256.0,133.0,172.0,,,
USC00040232,1955,6,24,,,107.0,,,0.0,0.0,0.0,267.0,156.0,194.0,,,
USC00040232,1955,6,25,,,104.0,,,0.0,0.0,0.0,300.0,139.0,211.0,,,
USC00040232,1955,6,26,,,109.0,,,0.0,0.0,0.0,350.0,89.0,161.0,,,
USC00040232,1955,6,27,,,71.0,,,0.0,0.0,0.0,217.0,94.0,172.0,,,
USC00040232,1955,6,28,,,76.0,,,0.0,0.0,0.0,300.0,122.0,194.0,,,
USC00040232,1955,6,29,,,114.0,,,0.0,0.0,0.0,261.0,128.0,183.0,,,
USC00040232,1955,6,3,,,99.0,,,0.0,0.0,0.0,311.0,111.0,211.0,,,
USC00040232,1955,6,30,,,102.0,,,0.0,0.0,0.0,283.0,122.0,178.0,,,
USC00040232,1955,6,31,,,-9999.0,,,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,,,
USC00040232,1955,6,4,,,94.0,,,0.0,0.0,0.0,333.0,206.0,261.0,,,
USC00040232,1955,6,5,,,122.0,,,0.0,0.0,0.0,333.0,194.0,267.0,,,
USC00040232,1955,6,6,,,122.0,,,0.0,0.0,0.0,383.0,172.0,256.0,,,
USC00040232,1955,6,7,,,119.0,,,0.0,0.0,0.0,339.0,150.0,206.0,,,
USC00040232,1955,6,8,,,109.0,,,0.0,0.0,0.0,389.0,139.0,211.0,,,
USC00040232,1955,6,9,,,117.0,,,0.0,0.0,0.0,361.0,150.0,233.0,,,
USC00040232,1955,7,1,,,97.0,,,0.0,0.0,0.0,289.0,100.0,200.0,,,
USC00040232,1955,7,10,,,104.0,,,0.0,0.0,0.0,267.0,133.0,167.0,,,
USC00040232,1955,7,11,,,91.0,,,0.0,0.0,0.0,306.0,111.0,194.0,,,
USC00040232,1955,7,12,,,89.0,,,0.0,0.0,0.0,339.0,128.0,211.0,,,
USC00040232,1955,7,13,,,94.0,,,0.0,0.0,0.0,328.0,122.0,194.0,,,
USC00040232,1955,7,14,,,109.0,,,0.0,0.0,0.0,383.0,178.0,233.0,,,
USC00040232,1955,7,15,,,117.0,,,0.0,0.0,0.0,367.0,150.0,183.0,,,
USC00040232,1955,7,16,,,114.0,,,0.0,0.0,0.0,322.0,100.0,178.0,,,
USC00040232,1955,7,17,,,102.0,,,0.0,0.0,0.0,278.0,94.0,178.0,,,
USC00040232,1955,7,18,,,107.0,,,0.0,0.0,0.0,300.0,100.0,183.0,,,
USC00040232,1955,7,19,,,94.0,,,0.0,0.0,0.0,306.0,100.0,183.0,,,
USC00040232,1955,7,2,,,112.0,,,0.0,0.0,0.0,322.0,156.0,217.0,,,
USC00040232,1955,7,20,,,86.0,,,0.0,0.0,0.0,322.0,111.0,183.0,,,
USC00040232,1955,7,21,,,94.0,,,0.0,0.0,0.0,300.0,111.0,178.0,,,
USC00040232,1955,7,22,,,89.0,,,0.0,0.0,0.0,306.0,111.0,167.0,,,
USC00040232,1955,7,23,,,94.0,,,0.0,0.0,0.0,317.0,111.0,178.0,,,
USC00040232,1955,7,24,,,99.0,,,0.0,0.0,0.0,344.0,106.0,206.0,,,
USC00040232,1955,7,25,,,104.0,,,0.0,0.0,0.0,333.0,122.0,200.0,,,
USC00040232,1955,7,26,,,104.0,,,0.0,0.0,0.0,311.0,111.0,194.0,,,
USC00040232,1955,7,27,,,104.0,,,0.0,0.0,0.0,300.0,133.0,211.0,,,
USC00040232,1955,7,28,,,91.0,,,0.0,0.0,0.0,311.0,106.0,178.0,,,
USC00040232,1955,7,29,,,89.0,,,0.0,0.0,0.0,344.0,139.0,211.0,,,
USC00040232,1955,7,3,,,122.0,,,0.0,0.0,0.0,300.0,128.0,156.0,,,
USC00040232,1955,7,30,,,104.0,,,0.0,0.0,0.0,372.0,128.0,200.0,,,
USC00040232,1955,7,31,,,99.0,,,0.0,0.0,0.0,356.0,122.0,206.0,,,
USC00040232,1955,7,4,,,94.0,,,0.0,0.0,0.0,233.0,111.0,156.0,,,
USC00040232,1955,7,5,,,-9999.0,,,0.0,0.0,0.0,267.0,83.0,156.0,,,
USC00040232,1955,7,6,,,107.0,,,0.0,0.0,0.0,256.0,106.0,167.0,,,
USC00040232,1955,7,7,,,91.0,,,0.0,0.0,0.0,294.0,150.0,217.0,,,
USC00040232,1955,7,8,,,135.0,,,0.0,0.0,0.0,328.0,200.0,222.0,,,
USC00040232,1955,7,9,,,152.0,,,0.0,0.0,0.0,300.0,144.0,189.0,,,
USC00040232,1955,8,1,,,107.0,,,0.0,0.0,0.0,383.0,122.0,200.0,,,
USC00040232,1955,8,10,,,76.0,,,0.0,0.0,0.0,350.0,100.0,172.0,,,
USC00040232,1955,8,11,,,86.0,,,0.0,0.0,0.0,367.0,128.0,206.0,,,
USC00040232,1955,8,12,,,102.0,,,0.0,0.0,0.0,378.0,111.0,183.0,,,
USC00040232,1955,8,13,,,76.0,,,0.0,0.0,0.0,328.0,117.0,189.0,,,
USC00040232,1955,8,14,,,89.0,,,0.0,0.0,0.0,317.0,89.0,172.0,,,
USC00040232,1955,8,15,,,76.0,,,0.0,0.0,0.0,289.0,89.0,167.0,,,
USC00040232,1955,8,16,,,81.0,,,0.0,0.0,0.0,300.0,72.0,167.0,,,
USC00040232,1955,8,17,,,71.0,,,0.0,0.0,0.0,294.0,78.0,161.0,,,
USC00040232,1955,8,18,,,76.0,,,0.0,0.0,0.0,300.0,106.0,167.0,,,
USC00040232,1955,8,19,,,74.0,,,0.0,0.0,0.0,300.0,83.0,161.0,,,
USC00040232,1955,8,2,,,97.0,,,0.0,0.0,0.0,378.0,150.0,206.0,,,
USC00040232,1955,8,20,,,81.0,,,0.0,0.0,0.0,350.0,100.0,178.0,,,
USC00040232,1955,8,21,,,86.0,,,0.0,0.0,0.0,350.0,106.0,183.0,,,
USC00040232,1955,8,22,,,79.0,,,0.0,0.0,0.0,350.0,94.0,161.0,,,
USC00040232,1955,8,23,,,84.0,,,0.0,0.0,0.0,361.0,111.0,172.0,,,
USC00040232,1955,8,24,,,94.0,,,0.0,0.0,0.0,356.0,106.0,178.0,,,
USC00040232,1955,8,25,,,97.0,,,0.0,0.0,0.0,322.0,94.0,156.0,,,
USC00040232,1955,8,26,,,76.0,,,0.0,0.0,0.0,289.0,72.0,128.0,,,
USC00040232,1955,8,27,,,71.0,,,0.0,0.0,0.0,294.0,83.0,156.0,,,
USC00040232,1955,8,28,,,74.0,,,0.0,0.0,0.0,317.0,72.0,144.0,,,
USC00040232,1955,8,29,,,74.0,,,0.0,0.0,0.0,322.0,67.0,139.0,,,
USC00040232,1955,8,3,,,107.0,,,0.0,0.0,0.0,394.0,144.0,206.0,,,
USC00040232,1955,8,30,,,71.0,,,0.0,0.0,0.0,322.0,89.0,161.0,,,
USC00040232,1955,8,31,,,81.0,,,0.0,0.0,0.0,361.0,100.0,183.0,,,
USC00040232,1955,8,4,,,107.0,,,0.0,0.0,0.0,389.0,133.0,161.0,,,
USC00040232,1955,8,5,,,89.0,,,0.0,0.0,0.0,367.0,128.0,172.0,,,
USC00040232,1955,8,6,,,76.0,,,0.0,0.0,0.0,306.0,156.0,206.0,,,
USC00040232,1955,8,7,,,107.0,,,0.0,0.0,0.0,378.0,178.0,217.0,,,
USC00040232,1955,8,8,,,114.0,,,0.0,0.0,0.0,383.0,150.0,200.0,,,
USC00040232,1955,8,9,,,112.0,,,0.0,0.0,0.0,372.0,133.0,211.0,,,
USC00040232,1955,9,1,,,91.0,,,0.0,0.0,0.0,400.0,156.0,250.0,,,
USC00040232,1955,9,10,,,76.0,,,0.0,0.0,0.0,339.0,83.0,172.0,,,
USC00040232,1955,9,11,,,74.0,,,0.0,0.0,0.0,356.0,111.0,194.0,,,
USC00040232,1955,9,12,,,66.0,,,0.0,0.0,0.0,361.0,133.0,167.0,,,
USC00040232,1955,9,13,,,86.0,,,0.0,0.0,0.0,344.0,111.0,178.0,,,
USC00040232,1955,9,14,,,97.0,,,0.0,0.0,0.0,300.0,117.0,189.0,,,
USC00040232,1955,9,15,,,23.0,,,5.0,0.0,0.0,239.0,111.0,156.0,,,
USC00040232,1955,9,16,,,71.0,,,0.0,0.0,0.0,267.0,144.0,178.0,,,
USC00040232,1955,9,17,,,86.0,,,0.0,0.0,0.0,344.0,150.0,156.0,,,
USC00040232,1955,9,18,,,56.0,,,0.0,0.0,0.0,283.0,94.0,178.0,,,
USC00040232,1955,9,19,,,71.0,,,0.0,0.0,0.0,311.0,100.0,206.0,,,
USC00040232,1955,9,2,,,94.0,,,0.0,0.0,0.0,422.0,178.0,228.0,,,
USC00040232,1955,9,20,,,76.0,,,0.0,0.0,0.0,311.0,89.0,161.0,,,
USC00040232,1955,9,21,,,56.0,,,0.0,0.0,0.0,283.0,100.0,167.0,,,
USC00040232,1955,9,22,,,64.0,,,0.0,0.0,0.0,328.0,117.0,161.0,,,
USC00040232,1955,9,23,,,66.0,,,0.0,0.0,0.0,283.0,78.0,100.0,,,
USC00040232,1955,9,24,,,64.0,,,0.0,0.0,0.0,272.0,94.0,206.0,,,
USC00040232,1955,9,25,,,76.0,,,0.0,0.0,0.0,322.0,128.0,189.0,,,
USC00040232,1955,9,26,,,81.0,,,0.0,0.0,0.0,294.0,61.0,178.0,,,
USC00040232,1955,9,27,,,61.0,,,0.0,0.0,0.0,294.0,72.0,144.0,,,
USC00040232,1955,9,28,,,61.0,,,0.0,0.0,0.0,272.0,67.0,156.0,,,
USC00040232,1955,9,29,,,64.0,,,0.0,0.0,0.0,239.0,56.0,139.0,,,
USC00040232,1955,9,3,,,97.0,,,0.0,0.0,0.0,422.0,156.0,228.0,,,
USC00040232,1955,9,30,,,48.0,,,0.0,0.0,0.0,272.0,94.0,156.0,,,
USC00040232,1955,9,31,,,-9999.0,,,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,,,
USC00040232,1955,9,4,,,86.0,,,0.0,0.0,0.0,428.0,144.0,211.0,,,
USC00040232,1955,9,5,,,99.0,,,0.0,0.0,0.0,406.0,139.0,200.0,,,
USC00040232,1955,9,6,,,81.0,,,0.0,0.0,0.0,350.0,139.0,200.0,,,
USC00040232,1955,9,7,,,112.0,,,0.0,0.0,0.0,344.0,144.0,189.0,,,
USC00040232,1955,9,8,,,97.0,,,0.0,0.0,0.0,333.0,106.0,189.0,,,
USC00040232,1955,9,9,,,74.0,,,0.0,0.0,0.0,344.0,117.0,183.0,,,
USC00040232,1955,10,1,,,58.0,,,0.0,0.0,0.0,300.0,78.0,156.0,,,
USC00040232,1955,10,10,,,53.0,,,0.0,0.0,0.0,256.0,89.0,167.0,,,
USC00040232,1955,10,11,,,10.0,,,20.0,0.0,0.0,217.0,94.0,144.0,,,
USC00040232,1955,10,12,,,38.0,,,0.0,0.0,0.0,244.0,83.0,172.0,,,
USC00040232,1955,10,13,,,43.0,,,0.0,0.0,0.0,283.0,106.0,206.0,,,
USC00040232,1955,10,14,,,51.0,,,0.0,0.0,0.0,322.0,106.0,183.0,,,
USC00040232,1955,10,15,,,58.0,,,0.0,0.0,0.0,261.0,89.0,150.0,,,
USC00040232,1955,10,16,,,41.0,,,0.0,0.0,0.0,300.0,106.0,178.0,,,
USC00040232,1955,10,17,,,33.0,,,0.0,0.0,0.0,239.0,89.0,161.0,,,
USC00040232,1955,10,18,,,30.0,,,0.0,0.0,0.0,222.0,122.0,139.0,,,
USC00040232,1955,10,19,,,36.0,,,0.0,0.0,0.0,233.0,111.0,144.0,,,
USC00040232,1955,10,2,,,48.0,,,0.0,0.0,0.0,294.0,67.0,161.0,,,
USC00040232,1955,10,20,,,20.0,,,0.0,0.0,0.0,217.0,89.0,156.0,,,
USC00040232,1955,10,21,,,38.0,,,0.0,0.0,0.0,239.0,89.0,156.0,,,
USC00040232,1955,10,22,,,38.0,,,0.0,0.0,0.0,222.0,56.0,150.0,,,
USC00040232,1955,10,23,,,28.0,,,0.0,0.0,0.0,222.0,61.0,139.0,,,
USC00040232,1955,10,24,,,28.0,,,0.0,0.0,0.0,256.0,56.0,150.0,,,
USC00040232,1955,10,25,,,38.0,,,0.0,0.0,0.0,289.0,72.0,178.0,,,
USC00040232,1955,10,26,,,38.0,,,0.0,0.0,0.0,294.0,139.0,167.0,,,
USC00040232,1955,10,27,,,61.0,,,0.0,0.0,0.0,222.0,56.0,172.0,,,
USC00040232,1955,10,28,,,38.0,,,0.0,0.0,0.0,244.0,50.0,128.0,,,
USC00040232,1955,10,29,,,38.0,,,0.0,0.0,0.0,267.0,100.0,189.0,,,
USC00040232,1955,10,3,,,41.0,,,0.0,0.0,0.0,317.0,78.0,161.0,,,
USC00040232,1955,10,30,,,36.0,,,0.0,0.0,0.0,261.0,61.0,156.0,,,
USC00040232,1955,10,31,,,64.0,,,0.0,0.0,0.0,278.0,89.0,128.0,,,
USC00040232,1955,10,4,,,76.0,,,0.0,0.0,0.0,261.0,83.0,156.0,,,
USC00040232,1955,10,5,,,66.0,,,0.0,0.0,0.0,250.0,94.0,183.0,,,
USC00040232,1955,10,6,,,69.0,,,0.0,0.0,0.0,272.0,83.0,183.0,,,
USC00040232,1955,10,7,,,46.0,,,0.0,0.0,0.0,283.0,72.0,156.0,,,
USC00040232,1955,10,8,,,69.0,,,0.0,0.0,0.0,283.0,72.0,161.0,,,
USC00040232,1955,10,9,,,56.0,,,0.0,0.0,0.0,261.0,56.0,144.0,,,
USC00040232,1955,11,1,,,51.0,,,0.0,0.0,0.0,194.0,94.0,117.0,,,
USC00040232,1955,11,10,,,30.0,,,0.0,0.0,0.0,272.0,122.0,178.0,,,
USC00040232,1955,11,11,,,71.0,,,0.0,0.0,0.0,283.0,78.0,117.0,,,
USC00040232,1955,11,12,,,36.0,,,0.0,0.0,0.0,183.0,44.0,106.0,,,
USC00040232,1955,11,13,,,10.0,,,13.0,0.0,0.0,144.0,22.0,61.0,,,
USC00040232,1955,11,14,,,8.0,,,84.0,0.0,0.0,83.0,50.0,61.0,,,
USC00040232,1955,11,15,,,10.0,,,0.0,0.0,0.0,89.0,6.0,56.0,,,
USC00040232,1955,11,16,,,10.0,,,0.0,0.0,0.0,122.0,6.0,67.0,,,
USC00040232,1955,11,17,,,5.0,,,86.0,0.0,0.0,89.0,56.0,72.0,,,
USC00040232,1955,11,18,,,8.0,,,0.0,0.0,0.0,117.0,61.0,83.0,,,
USC00040232,1955,11,19,,,8.0,,,0.0,0.0,0.0,111.0,56.0,89.0,,,
USC00040232,1955,11,2,,,33.0,,,0.0,0.0,0.0,194.0,28.0,122.0,,,
USC00040232,1955,11,20,,,10.0,,,3.0,0.0,0.0,189.0,83.0,111.0,,,
USC00040232,1955,11,21,,,13.0,,,8.0,0.0,0.0,172.0,67.0,89.0,,,
USC00040232,1955,11,22,,,25.0,,,0.0,0.0,0.0,156.0,11.0,78.0,,,
USC00040232,1955,11,23,,,13.0,,,0.0,0.0,0.0,150.0,11.0,44.0,,,
USC00040232,1955,11,24,,,5.0,,,38.0,0.0,0.0,94.0,33.0,78.0,,,
USC00040232,1955,11,25,,,8.0,,,3.0,0.0,0.0,139.0,6.0,39.0,,,
USC00040232,1955,11,26,,,10.0,,,0.0,0.0,0.0,144.0,50.0,78.0,,,
USC00040232,1955,11,27,,,10.0,,,0.0,0.0,0.0,172.0,22.0,44.0,,,
USC00040232,1955,11,28,,,5.0,,,0.0,0.0,0.0,156.0,17.0,50.0,,,
USC00040232,1955,11,29,,,8.0,,,0.0,0.0,0.0,161.0,39.0,44.0,,,
USC00040232,1955,11,3,,,23.0,,,0.0,0.0,0.0,217.0,17.0,100.0,,,
USC00040232,1955,11,30,,,10.0,,,0.0,0.0,0.0,178.0,28.0,56.0,,,
USC00040232,1955,11,31,,,-9999.0,,,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,,,
USC00040232,1955,11,4,,,38.0,,,0.0,0.0,0.0,233.0,83.0,128.0,,,
USC00040232,1955,11,5,,,33.0,,,0.0,0.0,0.0,228.0,111.0,150.0,,,
USC00040232,1955,11,6,,,15.0,,,0.0,0.0,0.0,239.0,100.0,150.0,,,
USC00040232,1955,11,7,,,36.0,,,0.0,0.0,0.0,261.0,89.0,156.0,,,
USC00040232,1955,11,8,,,33.0,,,0.0,0.0,0.0,267.0,67.0,128.0,,,
USC00040232,1955,11,9,,,25.0,,,0.0,0.0,0.0,283.0,56.0,128.0,,,
USC00040232,1955,12,1,-9999.0,,13.0,-9999.0,,99.0,0.0,0.0,156.0,56.0,94.0,,,
USC00040232,1955,12,10,-9999.0,,8.0,-9999.0,,0.0,0.0,0.0,128.0,33.0,78.0,,,
USC00040232,1955,12,11,-9999.0,,8.0,-9999.0,,0.0,0.0,0.0,167.0,28.0,61.0,,,
USC00040232,1955,12,12,-9999.0,,8.0,-9999.0,,0.0,0.0,0.0,161.0,39.0,61.0,,,
USC00040232,1955,12,13,-9999.0,,5.0,-9999.0,,0.0,0.0,0.0,156.0,50.0,72.0,,,
USC00040232,1955,12,14,-9999.0,,5.0,-9999.0,,0.0,0.0,0.0,106.0,44.0,83.0,,,
